bar_type,starting_balance,final_balance,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,avg_drawdown_pct,max_drawdown_duration_bars,total_trades,long_trades,short_trades,win_rate_pct,profit_factor,avg_win_pct,avg_loss_pct,avg_trade_return_pct,expectancy_pct,gross_profit_pct,gross_loss_pct,tp_exits,sl_exits,direction_change_exits,time_exits,total_signal_bars,buy_signals_pct,sell_signals_pct,hold_signals_pct,note
hybrid_1m,10000.0,6354.12,-36.4588,-64.0281,-2.336,-18.0821,-1.4359,-44.5917,-23.3515,32.0,257,98.0,159.0,31.1284,0.7727,1.8242,-1.0671,-0.1671,-0.1671,145.9359,188.8728,80.0,177.0,13.0,0.0,712.0,15.17,26.4,58.43,
range_1m,10000.0,4530.35,-54.6965,-75.102,-2.799,-18.218,-1.3418,-55.9725,-29.5376,29.0,384,244.0,140.0,32.0312,0.7344,1.7007,-1.0913,-0.197,-0.197,209.1841,284.8315,123.0,261.0,29.0,0.0,942.0,34.39,19.0,46.6,
renko_1m,10000.0,4132.29,-58.6771,-73.3642,-2.4018,-19.562,-1.1291,-64.9761,-31.0826,51.0,500,247.0,253.0,33.8,0.7694,1.6537,-1.0974,-0.1675,-0.1675,279.4712,363.2418,169.0,331.0,60.0,0.0,1096.0,28.28,33.3,38.41,
dollar_tick,10000.0,4404.94,-55.9506,-63.0225,-0.7477,-2.3024,-0.9259,-68.0642,-41.0197,119.0,1659,726.0,933.0,43.0983,0.9139,1.0653,-0.883,-0.0433,-0.0433,761.7178,833.5222,715.0,944.0,743.0,0.0,4282.0,32.65,55.16,12.19,
volume_tick,10000.0,1742.31,-82.5769,-87.6628,-1.8293,-6.1753,-1.0341,-84.7733,-48.1217,1.0,1504,707.0,797.0,39.2287,0.8058,1.1589,-0.9284,-0.1096,-0.1096,683.78,848.569,590.0,914.0,571.0,0.0,3791.0,34.11,47.96,17.94,
volatility_tick,10000.0,697.85,-93.0215,-93.5378,-1.9285,-5.0337,-1.0026,-93.2965,-71.4598,0.0,2486,1186.0,1300.0,41.3918,0.7894,0.9233,-0.826,-0.1019,-0.1019,950.0963,1203.5335,1029.0,1457.0,1328.0,0.0,7490.0,40.23,51.63,8.14,
range_tick,10000.0,717.96,-92.8204,-94.6289,-2.2476,-6.2659,-1.0178,-92.9703,-69.9561,15.0,2102,1025.0,1077.0,41.4367,0.7599,0.9157,-0.8525,-0.1199,-0.1199,797.5394,1049.4842,871.0,1231.0,1092.0,0.0,6474.0,42.09,49.54,8.37,
renko_tick,10000.0,9.55,-99.9045,-99.9203,-3.0446,-4.9214,-1.0001,-99.9062,-88.3248,0.0,7451,3769.0,3682.0,43.3365,0.6505,0.3931,-0.4622,-0.0915,-0.0915,1269.2329,1951.2183,3229.0,4222.0,6551.0,0.0,26679.0,53.29,42.74,3.97,
btc_volume_1m,10000.0,3528.47,-64.7153,-73.6854,-1.6693,-11.0251,-1.1097,-66.4033,-32.7761,13.0,849,379.0,470.0,36.1602,0.8294,1.5349,-1.0482,-0.1142,-0.1142,471.2234,568.1368,307.0,542.0,129.0,0.0,1808.0,34.07,42.2,23.73,
btc_volatility_1m,10000.0,3493.85,-65.0615,-78.8815,-2.76,-23.9073,-1.1288,-69.8792,-40.8458,12.0,539,290.0,249.0,33.9518,0.7361,1.5333,-1.0707,-0.1866,-0.1866,280.5899,381.1787,183.0,356.0,71.0,0.0,1283.0,34.68,27.9,37.41,
btc_hybrid_1m,10000.0,6354.12,-36.4588,-64.0281,-2.336,-18.0821,-1.4359,-44.5917,-23.3515,32.0,257,98.0,159.0,31.1284,0.7727,1.8242,-1.0671,-0.1671,-0.1671,145.9359,188.8728,80.0,177.0,13.0,0.0,712.0,15.17,26.4,58.43,
btc_range_1m,10000.0,4530.35,-54.6965,-75.102,-2.799,-18.218,-1.3418,-55.9725,-29.5376,29.0,384,244.0,140.0,32.0312,0.7344,1.7007,-1.0913,-0.197,-0.197,209.1841,284.8315,123.0,261.0,29.0,0.0,942.0,34.39,19.0,46.6,
btc_renko_1m,10000.0,4132.29,-58.6771,-73.3642,-2.4018,-19.562,-1.1291,-64.9761,-31.0826,51.0,500,247.0,253.0,33.8,0.7694,1.6537,-1.0974,-0.1675,-0.1675,279.4712,363.2418,169.0,331.0,60.0,0.0,1096.0,28.28,33.3,38.41,
btc_volume_tick,10000.0,1742.31,-82.5769,-87.6628,-1.8293,-6.1753,-1.0341,-84.7733,-48.1217,1.0,1504,707.0,797.0,39.2287,0.8058,1.1589,-0.9284,-0.1096,-0.1096,683.78,848.569,590.0,914.0,571.0,0.0,3791.0,34.11,47.96,17.94,
btc_volatility_tick,10000.0,697.85,-93.0215,-93.5378,-1.9285,-5.0337,-1.0026,-93.2965,-71.4598,0.0,2486,1186.0,1300.0,41.3918,0.7894,0.9233,-0.826,-0.1019,-0.1019,950.0963,1203.5335,1029.0,1457.0,1328.0,0.0,7490.0,40.23,51.63,8.14,
btc_range_tick,10000.0,717.96,-92.8204,-94.6289,-2.2476,-6.2659,-1.0178,-92.9703,-69.9561,15.0,2102,1025.0,1077.0,41.4367,0.7599,0.9157,-0.8525,-0.1199,-0.1199,797.5394,1049.4842,871.0,1231.0,1092.0,0.0,6474.0,42.09,49.54,8.37,
btc_renko_tick,10000.0,9.55,-99.9045,-99.9203,-3.0446,-4.9214,-1.0001,-99.9062,-88.3248,0.0,7451,3769.0,3682.0,43.3365,0.6505,0.3931,-0.4622,-0.0915,-0.0915,1269.2329,1951.2183,3229.0,4222.0,6551.0,0.0,26679.0,53.29,42.74,3.97,
btc_dollar_1m,10000.0,299.01,-97.0099,-97.8469,-2.482,-5.1973,-1.0081,-97.0608,-70.1203,0.0,3147,1525.0,1622.0,42.8344,0.7303,0.6823,-0.7001,-0.1079,-0.1079,919.7592,1259.4526,1348.0,1799.0,2233.0,0.0,6311.0,40.07,47.66,12.26,
btc_dollar_tick,10000.0,842.31,-91.5769,-95.0328,-2.2079,-5.3636,-1.0297,-92.2958,-69.485,107.0,2165,1030.0,1135.0,41.5704,0.7601,0.836,-0.7825,-0.1097,-0.1097,752.3799,989.8916,900.0,1265.0,1282.0,0.0,4282.0,39.19,46.52,14.29,
